OA,geography_code
N20001203,N21000279
N20001204,N21000280
N20001205,N21000279
N20001206,N21000279
N20001207,N21000275
N20001208,N21000281
N20001209,N21000280
N20001210,N21000279
N20001211,N21000281
N20001212,N21000280
N20001213,N21000279
N20001214,N21000281
N20001215,N21000284
N20001216,N21000281
N20001217,N21000278
N20001218,N21000283
N20001219,N21000281
N20001220,N21000284
N20001221,N21000284
N20001222,N21000282
N20001223,N21000282
N20001224,N21000278
N20001225,N21000282
N20001226,N21000283
N20001227,N21000282
N20001228,N21000285
N20001229,N21000285
N20001230,N21000283
N20001231,N21000283
N20001232,N21000285
N20001233,N21000284
N20001234,N21000285
N20001235,N21000286
N20001236,N21000286
N20001237,N21000289
N20001238,N21000286
N20001239,N21000287
N20001240,N21000288
N20001241,N21000290
N20001242,N21000288
N20001243,N21000290
N20001244,N21000289
N20001245,N21000286
N20001246,N21000291
N20001247,N21000289
N20001248,N21000290
N20001249,N21000288
N20001250,N21000291
N20001251,N21000289
N20001252,N21000290
N20001253,N21000294
N20001254,N21000291
N20001255,N21000287
N20001256,N21000292
N20001257,N21000292
N20001258,N21000293
N20001259,N21000295
N20001260,N21000294
N20001261,N21000287
N20001262,N21000292
N20001263,N21000292
N20001264,N21000293
N20001265,N21000293
N20001266,N21000292
N20001267,N21000296
N20001268,N21000287
N20001269,N21000295
N20001270,N21000295
N20001271,N21000293
N20001272,N21000297
N20001273,N21000296
N20001274,N21000298
N20001275,N21000294
N20001276,N21000295
N20001277,N21000297
N20001278,N21000296
N20001279,N21000296
N20001280,N21000294
N20001281,N21000300
N20001282,N21000299
N20001283,N21000298
N20001284,N21000297
N20001285,N21000298
N20001286,N21000298
N20001287,N21000299
N20001288,N21000298
N20001289,N21000300
N20001290,N21000299
N20001291,N21000297
N20001292,N21000300
N20001293,N21000298
N20001294,N21000300
N20001295,N21000299
N20001296,N21000300
N20001297,N21000301
N20001298,N21000301
N20001299,N21000301
N20001300,N21000302
N20001301,N21000301
N20001302,N21000301
N20001303,N21000302
N20001304,N21000302
N20001305,N21000302
N20001306,N21000301
N20001307,N21000303
N20001308,N21000304
N20001309,N21000304
N20001310,N21000305
N20001311,N21000303
N20001312,N21000303
N20001313,N21000305
N20001314,N21000305
N20001315,N21000303
N20001316,N21000305
N20001317,N21000306
N20001318,N21000309
N20001319,N21000309
N20001320,N21000306
N20001321,N21000309
N20001322,N21000309
